customer_id,age,gender,employment_status,monthly_income,loan_amount,loan_term,loan_purpose,credit_score,bvn_verified,previous_loans,previous_defaults,guarantor_available,region,defaulted
CUST00001,56,Male,Employed,133492,392048,9,Rent,651,1,1,0,0,Abuja,0
CUST00002,20,Male,Employed,135915,99094,18,Business,654,0,0,0,1,Ibadan,0
CUST00003,59,Female,Employed,142468,313009,3,Business,583,1,3,1,0,Abuja,0
CUST00004,31,Male,Employed,131992,57859,18,Rent,694,1,1,0,0,Enugu,0
CUST00005,53,Female,Self-employed,122644,218326,12,Travel,529,1,1,1,1,Kano,1
CUST00006,53,Male,Self-employed,129538,53361,12,Medical,617,0,0,0,0,Kano,0
CUST00007,41,Male,Self-employed,46132,275921,9,Business,511,0,1,1,1,Lagos,1
CUST00008,41,Female,Employed,177917,306920,9,Medical,667,1,3,0,0,Ibadan,0
CUST00009,54,Female,Employed,174375,444734,12,Travel,735,1,0,0,1,Lagos,0
CUST00010,31,Female,Employed,251168,219495,18,Medical,507,0,0,0,1,Enugu,1
CUST00011,49,Female,Self-employed,68718,306164,3,Business,642,1,0,0,1,Enugu,0
CUST00012,45,Male,Unemployed,39154,403799,3,Rent,632,0,3,0,0,Lagos,1
CUST00013,30,Female,Unemployed,10000,118832,12,Medical,634,0,0,0,0,Abuja,1
CUST00014,58,Female,Unemployed,23372,134418,6,Medical,585,1,2,2,0,Enugu,0
CUST00015,45,Male,Self-employed,92305,80998,18,Rent,630,1,1,0,1,Abuja,0
CUST00016,55,Female,Student,27013,320429,9,Travel,459,1,0,0,0,Abuja,1
CUST00017,46,Female,Employed,137506,117918,6,Business,685,1,1,0,1,Kano,0
CUST00018,56,Female,Unemployed,22167,463099,3,Rent,567,1,0,0,1,Ibadan,0
CUST00019,19,Female,Self-employed,140019,102466,12,Education,615,1,3,2,1,Enugu,0
CUST00020,53,Female,Self-employed,109051,14506,9,Rent,684,0,1,0,1,Abuja,0
CUST00021,33,Female,Student,19975,97623,18,Education,561,1,2,1,1,Kano,1
CUST00022,39,Male,Self-employed,135146,319257,18,Education,576,1,1,0,0,Lagos,0
CUST00023,36,Male,Employed,194395,31365,6,Rent,639,1,1,1,1,Enugu,0
CUST00024,46,Female,Employed,164197,482173,12,Education,592,1,0,0,1,Ibadan,0
CUST00025,35,Female,Unemployed,37101,351054,18,Business,609,1,0,0,1,Enugu,1
CUST00026,44,Male,Unemployed,19745,425848,9,Business,481,0,2,0,0,Kano,1
CUST00027,24,Female,Self-employed,157494,328482,12,Business,600,1,2,0,0,Enugu,0
CUST00028,39,Female,Self-employed,63463,491102,18,Business,554,1,1,0,0,Enugu,0
CUST00029,54,Female,Self-employed,162415,115752,6,Medical,612,1,0,0,1,Abuja,0
CUST00030,57,Male,Unemployed,10000,399641,12,Business,618,1,1,0,1,Lagos,0
CUST00031,26,Female,Unemployed,26315,458454,6,Business,615,1,0,0,0,Abuja,0
CUST00032,18,Male,Employed,213664,215604,12,Business,703,1,0,0,0,Ibadan,0
CUST00033,22,Male,Self-employed,88773,489960,12,Travel,539,0,0,0,1,Abuja,1
CUST00034,47,Female,Student,17899,475081,6,Travel,613,1,0,0,1,Enugu,0
CUST00035,22,Male,Unemployed,39726,472506,12,Medical,754,1,3,1,0,Port Harcourt,0
CUST00036,54,Female,Employed,184110,329227,6,Rent,644,1,0,0,0,Lagos,0
CUST00037,52,Female,Employed,186906,198844,18,Travel,470,1,0,0,1,Abuja,0
CUST00038,28,Male,Employed,160860,403705,3,Business,658,1,0,0,1,Abuja,0
CUST00039,53,Male,Employed,188329,176993,9,Business,540,1,2,1,0,Ibadan,0
CUST00040,37,Male,Unemployed,24768,448806,12,Rent,694,1,0,0,0,Ibadan,1
CUST00041,31,Male,Student,18998,251582,6,Education,802,0,0,0,1,Port Harcourt,1
CUST00042,40,Male,Employed,139722,466155,3,Education,624,1,1,1,1,Kano,0
CUST00043,29,Female,Student,24444,434765,12,Business,649,1,1,0,1,Enugu,1
CUST00044,46,Male,Employed,106557,408271,12,Medical,459,1,2,0,1,Lagos,0
CUST00045,44,Male,Self-employed,68331,222881,6,Travel,482,1,1,1,1,Port Harcourt,0
CUST00046,56,Male,Student,22596,481464,6,Medical,753,1,0,0,0,Port Harcourt,0
CUST00047,49,Male,Employed,93097,31266,12,Travel,659,1,1,0,0,Lagos,0
CUST00048,31,Male,Employed,123082,371179,3,Rent,752,1,1,0,0,Abuja,0
CUST00049,45,Female,Student,13954,122403,12,Rent,758,1,0,0,1,Port Harcourt,1
CUST00050,26,Male,Self-employed,138016,345518,12,Business,542,0,4,1,1,Port Harcourt,0
CUST00051,22,Female,Student,19631,407171,9,Education,571,1,0,0,0,Enugu,0
CUST00052,44,Female,Self-employed,72234,28042,6,Medical,610,0,0,0,1,Abuja,0
CUST00053,22,Male,Employed,150157,386803,9,Business,604,1,1,0,0,Lagos,0
CUST00054,30,Female,Self-employed,113326,380929,3,Travel,574,0,0,0,1,Lagos,0
CUST00055,20,Male,Employed,185378,280434,18,Business,606,1,1,0,0,Enugu,0
CUST00056,38,Male,Student,25748,452544,3,Travel,652,1,3,0,1,Abuja,0
CUST00057,50,Male,Employed,135398,314822,12,Travel,733,1,1,1,1,Ibadan,1
CUST00058,41,Female,Unemployed,31280,180232,6,Medical,551,1,1,0,1,Abuja,0
CUST00059,28,Female,Student,21832,99121,6,Medical,506,1,2,0,0,Port Harcourt,1
